"dummy","n3"
"n3_1","0.0582348518073559"
"n3_2","-0.0696648061275482"
"n3_3","-0.0423562489449978"
"n3_4","-0.0633591338992119"
"n3_5","-0.0401045866310596"
"n3_6","-0.00971235614269972"
"n3_7","-0.000202628274564631"
"n3_8","-0.0749960169196129"
"n3_9","-0.0897446423768997"
"n3_10","-0.0257382933050394"
"n3_11","0.0405364371836185"
"n3_12","-0.053441971540451"
"n3_13","-0.0457338877022266"
"n3_14","0.00681910198181868"
"n3_15","0.043797142803669"
"n3_16","-0.0504656210541725"
"n3_17","-0.0677697509527206"
"n3_18","0.0260327644646168"
"n3_19","0.0539483353495598"
"n3_20","-0.0461780019104481"
"n3_21","-0.0451833717525005"
"n3_22","-0.0480785183608532"
"n3_23","-0.0264378450810909"
"n3_24","-0.0354987792670727"
"n3_25","0.0347221866250038"
"n3_26","-0.0355177633464336"
"n3_27","0.0185188893228769"
"n3_28","-0.0398448519408703"
"n3_29","-0.048093106597662"
"n3_30","-0.0943472161889076"
"n3_31","-0.0516647174954414"
"n3_32","-0.0186060220003128"
"n3_33","-0.029285604134202"
"n3_34","-0.0160703156143427"
"n3_35","-0.0763154029846191"
"n3_36","0.024267453700304"
"n3_37","-0.00492280442267656"
"n3_38","-0.00545439822599292"
"n3_39","0.0247004665434361"
"n3_40","0.0122588062658906"
"n3_41","-0.0360376425087452"
"n3_42","-0.0301166027784348"
"n3_43","-0.0604362264275551"
"n3_44","-0.0562056340277195"
"n3_45","-0.0762528926134109"
"n3_46","0.0451321043074131"
"n3_47","-0.0445584654808044"
"n3_48","-0.0605985671281815"
"n3_49","-0.0207163617014885"
"n3_50","-0.151633858680725"
"n3_51","-0.0443607605993748"
"n3_52","-0.0881941094994545"
"n3_53","0.0462934859097004"
"n3_54","-0.0558502078056335"
"n3_55","-0.0158427394926548"
"n3_56","-0.034799937158823"
"n3_57","0.0279214065521955"
"n3_58","-0.0518595613539219"
"n3_59","-0.0335715189576149"
"n3_60","-0.00419984059408307"
"n3_61","-0.0556030981242657"
"n3_62","-0.0461851768195629"
"n3_63","0.043802697211504"
"n3_64","0.0442897453904152"
"n3_65","0.0666927695274353"
"n3_66","-0.0470322780311108"
"n3_67","-0.00995777081698179"
"n3_68","-0.0654887333512306"
"n3_69","-0.070229560136795"
"n3_70","-0.0184844732284546"
"n3_71","-0.0867785513401031"
"n3_72","0.0338088050484657"
"n3_73","-0.0635861456394196"
"n3_74","0.0910401046276093"
"n3_75","-0.044301725924015"
"n3_76","-0.0313445888459682"
"n3_77","-0.0464551784098148"
"n3_78","0.0477191060781479"
"n3_79","-0.0153921069577336"
"n3_80","-0.0380738191306591"
"n3_81","0.0232710670679808"
"n3_82","0.011782206594944"
"n3_83","-0.0611401535570621"
"n3_84","-0.0601738467812538"
"n3_85","0.0115603264421225"
"n3_86","-0.0502245686948299"
"n3_87","-0.0550630763173103"
"n3_88","-0.0122378682717681"
"n3_89","0.0246901251375675"
"n3_90","0.0521684847772121"
"n3_91","0.00550820026546717"
"n3_92","-0.0714406371116638"
"n3_93","-0.0108284968882799"
"n3_94","-0.0276517178863287"
"n3_95","-0.0135617516934872"
"n3_96","0.038594227284193"
"n3_97","-0.0107045127078891"
"n3_98","-0.0745329409837723"
"n3_99","-0.0242154989391565"
"n3_100","-0.027909217402339"
