"dummy","w4_1","w4_2","w4_3","w4_4","w4_5","w4_6","w4_7","w4_8","w4_9","w4_10","w4_11","w4_12","w4_13","w4_14","w4_15","w4_16","w4_17","w4_18","w4_19","w4_20","w4_21","w4_22","w4_23","w4_24","w4_25","w4_26","w4_27","w4_28","w4_29","w4_30","w4_31","w4_32","w4_33","w4_34","w4_35"
"w3_1","-0.230186477303505","0.66075199842453","0.315282464027405","-0.0529028214514256","0.210487484931946","-1.05730330944061","-0.380154609680176","-0.77523797750473","0.254780352115631","0.247702166438103","0.153730750083923","0.00658938847482204","0.441880583763123","-0.555172085762024","0.00439305184409022","-0.111576035618782","0.100553564727306","0.0796355754137039","-0.373900413513184","-0.30684232711792","-1.42025089263916","0.338286131620407","-0.115959636867046","0.253483593463898","-0.267254263162613","0.0215351711958647","-0.127212390303612","0.259902209043503","0.03504503890872","-0.111091822385788","0.0770874992012978","-1.36896622180939","0.0832766816020012","-0.0302915032953024","0.0629776269197464"
"w3_2","1.03658008575439","0.187487721443176","0.112261243164539","0.139880865812302","-1.1403694152832","-0.158030688762665","-0.104753665626049","0.995675086975098","0.636477470397949","-2.20379257202148","0.268437534570694","-0.441687703132629","0.216638714075089","-0.0844402015209198","0.426540583372116","0.248776614665985","-1.34542512893677","0.639379918575287","0.239472016692162","-0.133132815361023","-1.87313592433929","-2.90081143379211","0.313618510961533","-0.0457131266593933","0.382772028446198","0.524231553077698","-1.65591681003571","-0.592320621013641","-0.381074398756027","0.206236228346825","0.0170244723558426","-1.29129922389984","0.949354767799377","-0.329778641462326","0.882017254829407"
"w3_3","2.40636038780212","-0.15244734287262","-0.87108451128006","-1.69802904129028","0.0960663259029388","-0.716889977455139","-3.97818517684937","1.90416145324707","1.59273076057434","0.218634814023972","-0.0131296757608652","-0.301649987697601","1.326500415802","0.973958432674408","-4.86632633209229","-0.805739104747772","0.0342460982501507","-1.26039445400238","-0.651612877845764","0.389225631952286","-2.6234393119812","-0.00772582925856113","-0.546064853668213","-0.847144067287445","-5.2685923576355","-3.82933950424194","-3.78572845458984","-7.1559476852417","-0.0331717655062675","-2.33489799499512","0.582217872142792","-0.787310302257538","-0.619818449020386","-0.1733288615942","0.866105794906616"
"w3_4","-0.626785337924957","-0.968799412250519","-0.16570271551609","-1.59822690486908","0.0103635927662253","-2.6224205493927","-2.75337529182434","-0.367644786834717","0.281685769557953","0.170340776443481","0.0184647478163242","-4.01737833023071","0.343132197856903","0.310805320739746","-3.06583428382874","-7.9619288444519","-1.14527440071106","-4.0171365737915","-1.12343275547028","-1.07103335857391","0.846679091453552","-3.92177581787109","-0.0797880813479424","-0.267959773540497","-1.80544316768646","-2.94436430931091","1.45894420146942","-3.73504590988159","0.897761464118958","-0.446258991956711","-0.864147841930389","-5.67996644973755","1.20150780677795","0.0339297503232956","-0.642814457416534"
"w3_5","0.602537035942078","-0.0230149552226067","0.369459956884384","0.269200295209885","-0.0558179318904877","-0.0638597384095192","0.331893295049667","0.292532294988632","0.417825520038605","-0.688341438770294","0.0667411461472511","0.29165306687355","-0.548820555210114","-0.0755350664258003","0.4385666847229","0.560414135456085","0.118135385215282","0.232294246554375","0.220645502209663","0.47341924905777","0.0919834971427917","-6.60913228988647","-0.0972333773970604","-0.260956019163132","0.886880874633789","0.45102533698082","0.309676378965378","-0.37540739774704","-0.010542250238359","-0.0694709196686745","-0.215160459280014","0.717535495758057","0.131462439894676","0.198085695505142","-0.0136150475591421"
"w3_6","-5.52453088760376","-0.0599722266197205","-1.85930943489075","0.323511064052582","-0.987333238124847","0.0448695234954357","-1.94301795959473","-0.128021165728569","-0.133552938699722","-0.555687963962555","0.0392356887459755","-0.197652161121368","0.00259070936590433","-1.03146123886108","-0.313116192817688","-0.211979255080223","-1.34787034988403","-0.0531417764723301","-0.434885203838348","-1.2441486120224","0.0176951661705971","-0.305889844894409","-0.315120875835419","0.164015844464302","0.101422153413296","-0.465484321117401","-2.83151316642761","-0.114134170114994","0.108851082623005","-0.0178024582564831","-1.95273900032043","-0.901180505752563","0.215705916285515","-0.197068452835083","0.109177395701408"
"w3_7","-0.210083097219467","0.291912376880646","-0.384039551019669","0.201195001602173","-0.224461957812309","-1.74143850803375","0.0657886862754822","-0.256134539842606","-2.71256852149963","-1.4817019701004","-0.242968052625656","-1.48411297798157","-1.76997363567352","-0.674358546733856","-3.26636695861816","-0.623627543449402","-1.2399640083313","-1.82026743888855","0.213116511702538","-1.37273001670837","-2.80468678474426","0.242948785424232","-0.966937243938446","-0.328631788492203","-0.794069766998291","0.43648761510849","-1.49579322338104","-2.00778388977051","-0.784535944461823","-0.619015395641327","0.691910088062286","-0.407064199447632","-1.46451234817505","-0.163826003670692","0.428537607192993"
"w3_8","0.741593360900879","-0.373921394348145","0.0564576648175716","0.792469382286072","0.521707355976105","-2.44687724113464","0.372793972492218","2.44332599639893","-3.43228673934937","-2.49270486831665","-0.109230257570744","-0.451475352048874","-0.146296203136444","0.45345813035965","1.29246318340302","-0.388228803873062","-0.394064247608185","2.27787351608276","0.275350481271744","0.275839984416962","0.397550195455551","-0.262280136346817","-0.660721480846405","-0.123778216540813","1.26024174690247","0.66858434677124","-1.07483434677124","1.57985877990723","-0.408878684043884","0.513600826263428","-0.366033166646957","0.80410361289978","0.758753418922424","-0.816877961158752","-0.701110243797302"
"w3_9","1.09230816364288","0.224619686603546","-0.0823984146118164","-0.274864494800568","-0.119355455040932","-0.540018379688263","0.584779679775238","-0.0940214619040489","-2.12177085876465","1.16358959674835","0.366464257240295","0.425757944583893","0.42371192574501","-0.406974375247955","-1.08759868144989","-0.791889011859894","-0.213854521512985","-0.0553472712635994","0.223963737487793","0.987283885478973","-0.624018490314484","0.989398300647736","0.480932950973511","0.0144076775759459","-1.08838284015656","0.605242729187012","0.677628219127655","-0.37810343503952","0.226048499345779","-0.220119014382362","-0.496070861816406","0.109496966004372","0.409159988164902","0.0516263693571091","0.350501656532288"
"w3_10","-1.02113521099091","-0.279207736253738","-0.168285146355629","-0.376237213611603","-2.74108743667603","-0.879576206207275","-0.079987570643425","-0.260330855846405","0.159859001636505","0.468182235956192","-0.0644171684980392","-0.151276126503944","-0.0780684947967529","-0.28281158208847","-0.431403875350952","0.125669240951538","1.75320160388947","-0.184754893183708","0.0414951145648956","0.0985733568668365","-0.0346984751522541","-0.347291260957718","-0.525202751159668","-0.0480829998850822","-0.384285122156143","-0.901891231536865","-0.269621670246124","-5.42176723480225","-0.0212627910077572","-0.0634095221757889","-0.110972233116627","-0.457545965909958","0.163975760340691","-1.60789966583252","-2.94816851615906"
