"dummy","w3_1","w3_2","w3_3","w3_4","w3_5","w3_6","w3_7","w3_8","w3_9","w3_10","w3_11","w3_12","w3_13","w3_14","w3_15","w3_16","w3_17","w3_18","w3_19","w3_20","w3_21","w3_22","w3_23","w3_24","w3_25","w3_26","w3_27","w3_28","w3_29","w3_30","w3_31","w3_32","w3_33","w3_34","w3_35","w3_36","w3_37","w3_38","w3_39","w3_40","w3_41","w3_42","w3_43","w3_44","w3_45","w3_46","w3_47","w3_48","w3_49","w3_50","w3_51","w3_52","w3_53","w3_54","w3_55","w3_56","w3_57","w3_58","w3_59","w3_60","w3_61","w3_62","w3_63","w3_64","w3_65","w3_66","w3_67","w3_68","w3_69","w3_70","w3_71","w3_72","w3_73","w3_74","w3_75","w3_76","w3_77","w3_78","w3_79","w3_80","w3_81","w3_82","w3_83","w3_84","w3_85","w3_86","w3_87","w3_88","w3_89","w3_90","w3_91","w3_92","w3_93","w3_94","w3_95","w3_96","w3_97","w3_98","w3_99","w3_100"
"w2_105","-0.234674409031868","1.38692712783813","-1.18989980220795","0.00336242187768221","0.49789559841156","0.451051443815231","-0.433863669633865","-0.220752120018005","-0.473936796188354","-0.975181937217712","0.761357009410858","-4.58194351196289","0.319352596998215","-0.457032024860382","-0.653955459594727","-0.769918620586395","-0.370815724134445","0.229372575879097","0.321056455373764","0.419401973485947","-2.26786112785339","0.0379510931670666","-0.450182408094406","0.525006532669067","0.233660727739334","2.42985987663269","1.1592663526535","-0.875389695167542","-0.914696931838989","0.167689338326454","-0.425491780042648","-0.534043729305267","-0.937512040138245","-3.2842652797699","-1.25299906730652","-1.41320669651031","0.0498996786773205","0.90709263086319","-0.498230755329132","0.190581321716309","-0.190357059240341","-0.380762130022049","0.384851008653641","1.2258437871933","1.4232577085495","0.198336973786354","0.395734965801239","0.355088353157043","0.719002187252045","-3.6545352935791","1.29644644260406","-0.38733384013176","-0.327086925506592","0.497589975595474","-0.101362220942974","-0.279476195573807","-0.156167283654213","-0.479819238185883","0.275728285312653","-2.13310503959656","-1.43006324768066","-0.264269083738327","-0.937698125839233","-0.214448735117912","-0.351343393325806","-0.269178450107574","0.00968708284199238","-0.349077761173248","0.131999805569649","-0.00532187707722187","0.0992909297347069","-0.423981040716171","0.436859279870987","-0.82952868938446","-0.487433820962906","0.140782088041306","-2.5952672958374","0.476271152496338","-0.332985013723373","-9.83775329589844","1.01081502437592","0.437257140874863","0.817595064640045","0.613114297389984","0.804899573326111","1.93176019191742","-1.10527431964874","0.0631626099348068","0.669473707675934","-6.36088752746582","-0.911487698554993","1.0644439458847","0.0381881408393383","-2.219890832901","-0.496640563011169","0.336317658424377","0.609372794628143","-0.408177345991135","1.65676784515381","-3.80280661582947"
"w2_106","-1.43742668628693","2.01308965682983","-2.3328104019165","2.71920919418335","-3.43179321289062","1.47748816013336","3.04037165641785","-4.95698213577271","-1.39131999015808","-0.652010023593903","-0.0393142215907574","1.55130839347839","1.22607159614563","0.61811637878418","-2.15303659439087","-3.6589412689209","-0.130208998918533","-8.46450519561768","-0.0109069151803851","-0.105148434638977","0.525857388973236","0.102557756006718","-1.98300623893738","-1.19929206371307","0.690951347351074","-0.356171011924744","-0.608839571475983","-2.34514474868774","0.0120399445295334","-1.20912671089172","0.451273113489151","-1.7445113658905","1.40988421440125","2.891441822052","-1.06397557258606","-0.664314389228821","0.598051488399506","-0.698543429374695","-1.68602883815765","2.21586990356445","-1.14341497421265","-1.7208024263382","2.39255475997925","0.246003225445747","1.96389746665955","1.14762556552887","2.70515990257263","4.66606855392456","2.98741316795349","-1.08555722236633","5.75422430038452","-5.20027112960815","-0.211089372634888","-0.00352964573539793","-0.0320519469678402","2.81765699386597","-0.996245980262756","0.101663053035736","2.27795648574829","-0.651278257369995","0.197530463337898","-0.0541896969079971","0.319090902805328","-1.10450112819672","0.435843765735626","-0.455164760351181","0.365695655345917","-0.541490793228149","-0.439210772514343","0.0898870900273323","-0.858820796012878","-3.48882603645325","-4.53526735305786","0.790667057037354","1.3353179693222","2.55570006370544","0.164629071950912","-0.942133188247681","-1.65262174606323","-0.515548408031464","-0.0108350077643991","1.25452351570129","0.563250184059143","-1.62899243831635","1.0591459274292","-0.619428694248199","1.37265300750732","0.193864300847054","-2.39600396156311","1.90054905414581","2.41112208366394","-0.696746528148651","0.508232295513153","-3.31423187255859","1.74132168292999","1.43711245059967","-0.775866806507111","0.830913186073303","1.11484026908875","0.00211299653165042"
"w2_107","-0.589182376861572","-1.15716195106506","-0.0662367716431618","-1.82387471199036","-0.216271549463272","-0.425857871770859","-0.0730559974908829","0.389021575450897","-0.333754658699036","-0.23398357629776","0.739784240722656","-3.63883328437805","-0.774508118629456","-0.133876129984856","-1.2547664642334","-0.665587723255157","-0.454713135957718","-0.593011558055878","-0.363318860530853","0.687859416007996","-0.377796649932861","0.0275220759212971","0.01523014344275","-0.96205347776413","-2.88523483276367","-0.579517781734467","0.0796238780021667","-0.258866757154465","0.545163333415985","0.563145101070404","0.783629298210144","0.275025933980942","-1.45649874210358","-1.74884116649628","-0.092997245490551","0.125206217169762","0.18035489320755","-0.383620202541351","-0.673888862133026","-0.360029518604279","-1.41369259357452","-1.73565196990967","0.0575490556657314","-0.706102252006531","0.485071927309036","-0.466551333665848","-3.57958197593689","0.352524250745773","2.00749135017395","0.474823564291","0.463161051273346","0.0872744768857956","-0.0952315405011177","-0.922429800033569","0.146595984697342","-0.697206735610962","0.493713676929474","-6.09913492202759","-0.588078856468201","-0.430934250354767","0.109590515494347","0.812723517417908","0.290448814630508","0.294178456068039","-2.05496597290039","0.0255569461733103","0.0551248490810394","1.08359122276306","0.17619651556015","-0.531995952129364","0.374427080154419","-0.227311372756958","0.0651385188102722","-0.172417715191841","-0.63875150680542","-0.324377030134201","-2.01218605041504","-0.00300831068307161","0.41150626540184","1.36975014209747","-0.113663420081139","-1.4889258146286","-1.33191013336182","-4.61903810501099","0.701499700546265","-0.0912898704409599","-0.275137215852737","-0.44199600815773","-0.772329688072205","-2.5225772857666","-3.82921695709229","0.203774869441986","-0.17310693860054","-0.248099163174629","-0.58314722776413","-0.274756044149399","-0.534038960933685","-3.03428554534912","-0.247091099619865","0.748226404190063"
"w2_108","0.447050839662552","-0.548629879951477","2.80012464523315","-0.153690695762634","-0.182862639427185","0.639115512371063","0.608598411083221","1.85939407348633","0.789542675018311","0.607234716415405","-7.68680906295776","0.209707498550415","-0.123997412621975","1.44336688518524","0.957222521305084","-1.4519727230072","1.04586184024811","-0.30344420671463","0.525752067565918","-0.999442934989929","-2.12276077270508","-0.199163436889648","-1.02284383773804","0.510761320590973","-0.925318896770477","-0.217788219451904","0.0403678305447102","1.2832647562027","1.66581308841705","4.11867141723633","-1.28889811038971","0.0848639607429504","0.607364773750305","1.9486300945282","-3.9399893283844","1.26277256011963","2.56449890136719","-1.5730197429657","2.08752632141113","-1.94894635677338","0.292221367359161","-1.33216905593872","0.63576740026474","1.06398844718933","0.296078622341156","1.89833009243011","1.12711918354034","-1.0372941493988","1.52989232540131","-0.357417583465576","0.720108270645142","0.774975538253784","-0.0964074581861496","0.306949615478516","0.610575318336487","0.700558841228485","-0.597495853900909","-0.939274489879608","0.04484823346138","-0.41493958234787","-0.302816182374954","-0.634476602077484","-0.491393536329269","0.406196027994156","-2.71192121505737","-1.08065831661224","4.07664251327515","0.0107653345912695","0.386138528585434","0.760977745056152","2.55533242225647","0.393052071332932","-0.377616584300995","-0.111362285912037","-0.377190440893173","-0.736797273159027","1.75151288509369","-2.14248895645142","-0.375575363636017","-4.13888072967529","2.91097831726074","0.121109031140804","-0.346463203430176","-0.108101636171341","-0.20814423263073","-4.32295894622803","-0.379413574934006","0.198419660329819","0.919550538063049","-1.59854698181152","-0.649854421615601","1.51113629341125","-1.34256660938263","0.625128090381622","0.384456723928452","-2.16845440864563","-1.21340584754944","1.50407743453979","-0.298660695552826","1.2713862657547"
"w2_109","0.0380340553820133","-10.9057712554932","-0.431131333112717","0.172026231884956","0.134451672434807","0.759138584136963","0.6126828789711","-4.7189040184021","-0.0684759840369225","2.85737800598145","-0.845985949039459","0.4918192923069","-0.601955115795135","-0.174320876598358","-0.864625871181488","0.329785466194153","-1.20093011856079","-0.348752707242966","-4.51962423324585","-0.950495481491089","0.10277546942234","0.0828048214316368","-3.78152012825012","-0.339724391698837","-0.0144893424585462","-1.88544106483459","-1.36125111579895","-1.26359188556671","2.39206194877625","-3.57288765907288","0.759011745452881","-0.644259095191956","0.595751345157623","-1.13041436672211","-0.222026139497757","-0.692166268825531","0.481096178293228","-1.3042459487915","-1.18901133537292","-1.33050549030304","0.771109998226166","0.712447881698608","-1.44114696979523","-0.817600846290588","0.0771107003092766","0.0772280097007751","-0.205230593681335","-0.387168884277344","-0.142290860414505","0.181868255138397","-7.24176645278931","0.00904106255620718","0.64004921913147","-0.439562648534775","-2.17850565910339","-1.51411986351013","0.334198176860809","1.22135770320892","2.40814995765686","1.07387316226959","0.931097984313965","0.156268045306206","-2.02267217636108","-1.66253733634949","-2.62393760681152","0.501839995384216","0.620925903320312","-6.95895385742188","-0.0172241535037756","-1.42816054821014","-1.35862612724304","-1.80698072910309","-2.39610171318054","0.810066938400269","1.1609433889389","0.257578730583191","1.01453101634979","-1.1425940990448","-0.618047177791595","-0.289302378892899","-0.450220733880997","-0.692280471324921","-1.47628402709961","-0.581761717796326","-0.827620506286621","-3.96500873565674","3.34338068962097","0.253200620412827","1.14334380626678","-0.75793468952179","0.043088510632515","1.86364150047302","-1.38975560665131","1.06427681446075","-0.00342505052685738","-3.2052206993103","-0.471936076879501","0.195383369922638","0.334261029958725","0.0842448323965073"
"w2_110","1.49095129966736","-0.662100791931152","0.565822422504425","-0.0974155962467194","-0.422157257795334","-0.522889077663422","-2.04159235954285","-0.187531977891922","0.131913974881172","-0.998417735099792","1.19791173934937","-2.42828941345215","0.572354018688202","-3.92155838012695","0.823075175285339","-2.01041507720947","-0.437042057514191","0.486701935529709","-0.458082497119904","-0.946199178695679","-1.1259001493454","-0.396267145872116","1.28412914276123","1.48716807365417","-2.97815132141113","-1.20887720584869","-0.639562904834747","0.316086411476135","0.0182224903255701","-5.55809831619263","0.158275336027145","0.571698129177094","-0.26575380563736","-0.00892693549394608","-0.154233276844025","0.828964531421661","-1.03419649600983","-0.75325745344162","-0.803933203220367","-2.89391040802002","1.22959125041962","-1.16595780849457","0.954468727111816","-1.84555864334106","-0.50299209356308","-0.143039345741272","-0.333729922771454","-2.52801156044006","1.67591714859009","0.183915913105011","-0.282846450805664","-0.288779258728027","-1.39585721492767","-0.146322295069695","-0.333573698997498","-0.207882300019264","-0.738976836204529","-0.874837756156921","0.0787677094340324","0.301646322011948","-0.00776778813451529","-0.84805953502655","0.39201295375824","-0.357891798019409","0.0617216192185879","1.16328537464142","-2.2840518951416","-0.759619653224945","-0.0986706465482712","-0.312663853168488","0.415978252887726","0.092119000852108","-0.689479231834412","0.106113992631435","-0.913508713245392","-2.02043437957764","0.697714924812317","0.789508879184723","-0.612291038036346","-0.898043096065521","1.18326389789581","0.234664812684059","0.208694279193878","-0.828160107135773","0.194588184356689","-1.52562999725342","-0.668446600437164","-0.0652338340878487","0.558210849761963","-1.002596616745","-0.227257013320923","-1.23852825164795","0.131422013044357","0.392424136400223","-0.0227386243641376","-2.00384068489075","0.142108798027039","-1.61952185630798","-0.879871368408203","0.625642597675323"
"w2_111","1.18535959720612","1.36917424201965","1.00927448272705","0.21853069961071","0.588557243347168","-0.896031022071838","1.31174385547638","-0.700005054473877","-1.79107987880707","1.26497292518616","-0.898349404335022","-2.00116467475891","1.05046725273132","-0.791000664234161","0.27689391374588","2.10741209983826","-0.970899641513824","-0.338402032852173","1.48662304878235","-1.10005450248718","1.2722419500351","0.656044185161591","-1.28674387931824","-1.34027349948883","-1.32133305072784","0.72965407371521","-0.0323218330740929","-1.27216589450836","3.21801900863647","0.191098809242249","-0.0376807861030102","1.7372407913208","-0.838523268699646","-0.889244556427002","2.17784786224365","-0.986472249031067","0.0374467223882675","-0.507245540618896","-0.298456698656082","-0.0918973535299301","2.1950466632843","0.352617144584656","-2.28732824325562","2.69245409965515","-1.71554780006409","-0.532478213310242","-0.174987077713013","0.23750975728035","-2.69901490211487","1.46605837345123","-5.13382768630981","-2.80733466148376","1.71208691596985","-0.216154500842094","0.0982445180416107","0.488875985145569","0.471063107252121","0.997676372528076","-0.900959610939026","-0.0278961006551981","0.813276469707489","0.444495379924774","1.65765833854675","0.495309740304947","-0.783578038215637","0.133559972047806","-1.22130239009857","-0.0265565793961287","1.40934658050537","0.516615092754364","1.8850508928299","-0.16817319393158","-0.818103849887848","-0.625745534896851","-1.91124427318573","-1.68419051170349","0.573774337768555","0.784085750579834","1.57515430450439","0.334978401660919","-0.147486761212349","-0.609225034713745","0.795851707458496","-0.787639141082764","0.652142941951752","0.815848827362061","2.72984933853149","-0.0854787081480026","0.711749494075775","0.059393372386694","-0.310843855142593","-2.14449739456177","-0.394964396953583","0.568799495697021","-0.166498214006424","0.0882613137364388","1.01352608203888","-1.33799421787262","0.770862936973572","0.287333875894547"
"w2_112","0.686060905456543","-0.0790461823344231","-0.846871972084045","0.962781608104706","-1.15543496608734","-0.923370778560638","0.209541127085686","1.24595475196838","0.958799600601196","0.64862459897995","-0.436675041913986","-4.49972724914551","0.601619005203247","-0.392987787723541","-1.61113977432251","0.274443179368973","0.373820126056671","0.457796543836594","-0.638198554515839","0.73836088180542","-0.114564262330532","-0.853590369224548","-2.18687653541565","-0.959937691688538","-1.95181775093079","-0.0353795401751995","-1.03764808177948","-1.00356543064117","-1.88697016239166","0.669589459896088","-0.14497272670269","-1.32311713695526","-2.37707805633545","-0.337198525667191","1.31689214706421","0.0912478193640709","-2.01925730705261","1.42664182186127","1.74319851398468","-0.199300616979599","-0.598255395889282","0.900087118148804","-1.14131593704224","-0.304449051618576","0.463623940944672","0.317022740840912","-1.19932770729065","0.625450193881989","0.547547280788422","0.328046917915344","0.185508966445923","-2.13320922851562","0.350655198097229","0.722662925720215","-0.428093582391739","-1.20102262496948","1.27977764606476","1.07951557636261","-1.47971320152283","0.23465970158577","0.358879834413528","-0.199778184294701","-3.09598302841187","0.969262301921844","-0.735423147678375","-1.34605467319489","2.9595627784729","0.545282602310181","1.24597895145416","-0.590799689292908","1.14777112007141","-0.623427033424377","-0.623471319675446","1.44474470615387","-1.33320140838623","6.94543409347534","0.253918826580048","0.196201860904694","-1.52341842651367","-0.654457271099091","0.416173487901688","-0.0703243464231491","0.603475630283356","0.195989817380905","-0.0706262215971947","1.15669512748718","-0.428016066551208","0.539666295051575","-1.94591522216797","-0.580532371997833","-2.55436658859253","-1.07920229434967","1.22264564037323","0.101393975317478","-0.404856473207474","-0.379133999347687","0.198392540216446","1.18357157707214","-0.479451060295105","1.76508975028992"
"w2_113","-0.718790709972382","-1.73561561107635","0.193263977766037","-0.292080760002136","0.0578202567994595","-0.0465928092598915","-0.838295102119446","0.245395168662071","1.80595183372498","-2.15900874137878","0.827926695346832","1.23075914382935","0.436186671257019","-0.499080121517181","0.107204355299473","-2.32000255584717","-0.0479509308934212","0.590266823768616","-0.117421209812164","1.52561235427856","-0.397221446037292","-0.774728834629059","4.31245422363281","-1.17215764522552","0.907880187034607","-3.79879379272461","-0.220492660999298","0.86487203836441","-0.75460022687912","-3.86215424537659","-1.61228322982788","-0.149761065840721","-0.549299538135529","-0.579860985279083","-5.77825212478638","-2.39425325393677","-0.695193707942963","-8.9015007019043","-2.37751984596252","-0.828469693660736","-0.0202858038246632","0.901881217956543","-0.630500733852386","0.521163046360016","-0.385657906532288","0.389995396137238","0.628288447856903","0.430696338415146","-0.406573086977005","-0.0731795206665993","-0.8100226521492","-3.65608739852905","-0.684305667877197","1.13651669025421","-2.20506691932678","0.243553906679153","0.166347607970238","0.0140439961105585","0.252951979637146","-1.16831290721893","0.534764766693115","-2.18191146850586","1.06709611415863","-0.819991648197174","-0.162475898861885","-0.179559051990509","-0.439686447381973","0.101116858422756","-1.15989828109741","-0.463519394397736","0.367078900337219","-0.0558762066066265","1.352747797966","0.00928578805178404","0.662105619907379","0.0687588080763817","0.614586532115936","-1.53058528900146","-3.40931391716003","-6.11562871932983","-1.81770145893097","0.827837228775024","0.132576122879982","-0.350704550743103","0.326435208320618","-2.01101183891296","1.18400633335114","-0.085522398352623","-1.48334360122681","0.670887649059296","0.321702629327774","-0.859062612056732","0.713186383247375","1.51226484775543","-2.81677389144897","-3.09506154060364","-0.0173770654946566","0.606345295906067","-0.83422440290451","0.830390095710754"
"w2_114","0.405351936817169","-0.203757524490356","0.224272951483727","-0.225638881325722","-0.0358822867274284","-1.84444630146027","0.560431599617004","0.409955710172653","0.3846295773983","-0.0937517061829567","-1.19166803359985","-2.68549847602844","-0.87090528011322","-1.91625738143921","-0.764703452587128","0.290717601776123","0.74461418390274","0.536623656749725","1.06532204151154","-0.147334709763527","0.148921579122543","0.387098848819733","-0.99692714214325","1.32685005664825","0.102506764233112","-0.454434454441071","0.00167407561093569","0.0902068838477135","-1.05418062210083","-0.0616325475275517","-0.734241485595703","-0.079324297606945","2.35900020599365","0.0685676410794258","0.899573802947998","0.0593235902488232","-0.401101678609848","-0.5292928814888","1.58182919025421","-1.31468391418457","0.289857089519501","-0.0853737816214561","-0.230121776461601","-1.27043414115906","0.367299288511276","0.345039755105972","-0.008489646948874","0.518481135368347","-0.451223403215408","-0.014440655708313","1.1819703578949","0.270744174718857","0.855277240276337","-0.200746864080429","0.037478681653738","-0.0470188111066818","0.229383632540703","-0.0698534771800041","-0.0810508877038956","0.644658446311951","0.182913362979889","0.630368053913116","-0.130567476153374","0.366458743810654","0.663601577281952","-0.11028254032135","-0.245743438601494","0.336667031049728","-0.762625753879547","-0.249442890286446","-0.0221822392195463","0.719923079013824","1.31525182723999","0.357062101364136","0.665772438049316","-0.771186947822571","0.632532954216003","0.281860649585724","-0.70879077911377","0.344199597835541","-1.57661724090576","0.590178251266479","-0.756851851940155","0.119181543588638","0.286684393882751","-0.580396294593811","0.865702986717224","-0.32340407371521","0.282319456338882","-1.7625937461853","-0.71858674287796","0.0864949822425842","0.174951002001762","-0.0911522805690765","-0.0635315179824829","-0.097694955766201","0.0659623071551323","0.279290050268173","0.719858884811401","-0.280722051858902"
"w2_115","0.0381719470024109","-2.41436672210693","0.412200570106506","0.427259653806686","-0.0551776736974716","2.19901585578918","0.848996996879578","-6.78470802307129","-0.81694096326828","-0.265094995498657","-0.231534570455551","1.01203715801239","1.08471131324768","0.491634458303452","1.02184998989105","-0.0461436323821545","2.13147759437561","-0.771160662174225","-1.81676876544952","0.81403660774231","-0.533714592456818","1.2202445268631","-1.154989361763","-0.705590903759003","0.752830982208252","-0.648878931999207","0.156358927488327","0.731343686580658","-0.769999384880066","-0.519164085388184","-0.766671419143677","-0.453349560499191","0.200582638382912","-1.93065130710602","0.202869400382042","-0.274051040410995","0.954459965229034","0.0957294330000877","0.036461602896452","0.884576618671417","2.0175256729126","-0.864544153213501","0.326411426067352","-0.597857773303986","-1.28169679641724","-2.80571746826172","0.684341490268707","0.611099660396576","0.0566825196146965","-0.31197115778923","-0.669781863689423","-0.470478534698486","-1.03192234039307","0.285796701908112","-1.41568183898926","-1.55702602863312","0.113070979714394","-0.722653329372406","1.72903347015381","-1.89954149723053","0.071065291762352","1.24268078804016","1.31855416297913","0.657429099082947","0.749907732009888","-2.25880265235901","-0.290403336286545","-0.1607895642519","-0.859365344047546","-1.86927950382233","-0.529917180538177","-0.0365326665341854","-0.309042394161224","-0.743145644664764","1.47107791900635","1.10311365127563","2.377854347229","-0.992156207561493","0.38441127538681","-0.0954560115933418","0.601520478725433","0.305086970329285","-0.401990622282028","-0.563026189804077","0.579438269138336","-1.27639257907867","-1.61517000198364","0.68140983581543","-0.858209669589996","0.625935733318329","0.810266554355621","-0.427337348461151","1.00031888484955","-0.386148780584335","0.0896285101771355","1.96491897106171","0.692036688327789","0.387274205684662","1.39366948604584","-0.103127174079418"
"w2_116","0.223029345273972","0.164452657103539","-3.60849595069885","0.801024913787842","-0.897605717182159","-0.911303162574768","0.420550286769867","1.36369013786316","0.156979992985725","-0.00624105241149664","0.166319668292999","-0.0781449303030968","-2.44492268562317","-0.938258051872253","-0.630103290081024","1.04572200775146","-0.719466149806976","-0.313164979219437","-1.25113677978516","2.7270565032959","-2.88678169250488","-0.370124369859695","-0.419500887393951","0.857495367527008","-0.575942397117615","0.375459283590317","0.648622095584869","1.6964989900589","-2.44219136238098","-1.1161777973175","-0.577935516834259","-2.01992893218994","-4.67671012878418","0.928146302700043","0.202074185013771","-0.894622623920441","1.0269660949707","-0.665179252624512","1.39503228664398","-13.2337141036987","-0.0915658324956894","1.16994440555573","1.99423575401306","-1.37419617176056","-0.161575317382812","0.317332476377487","0.977517187595367","-1.20604717731476","1.45897340774536","2.30418109893799","-1.77097749710083","0.654136717319489","-1.23093795776367","1.59227848052979","0.691150903701782","1.10452771186829","-0.40802538394928","-0.213440462946892","-0.595562398433685","0.256393730640411","-2.06279253959656","0.261326730251312","0.195104718208313","1.65223360061646","-1.09109282493591","0.61788547039032","0.692930519580841","-0.366873562335968","-0.758810937404633","-0.00729104829952121","-1.30261671543121","0.11847709864378","0.155613988637924","0.987359523773193","-1.89681375026703","3.36788439750671","0.225901678204536","-0.406689614057541","-1.10943996906281","-0.476288199424744","-0.809730470180511","1.41095340251923","0.55155748128891","1.82226634025574","0.00558130815625191","-0.0232603214681149","0.365331321954727","-0.449883788824081","-1.38016021251678","-0.166075631976128","3.1504008769989","1.05459177494049","-2.62719440460205","0.18171851336956","-0.311138600111008","-0.398298174142838","-0.500884354114532","-0.0846958085894585","0.999234795570374","-2.24760699272156"
"w2_117","-1.50921952724457","0.0281049646437168","0.755637526512146","0.55577290058136","0.0273681990802288","1.16962325572968","0.856688737869263","0.238778814673424","-0.266293823719025","1.55759489536285","-0.237816020846367","1.01126611232758","1.94815909862518","0.51251345872879","1.22303462028503","0.145644918084145","0.710325598716736","-2.16225385665894","-0.723938822746277","0.0357717387378216","1.85357916355133","1.27165699005127","-0.817100822925568","-0.602105736732483","0.946709990501404","0.298344314098358","0.234600409865379","0.726363718509674","0.35929200053215","0.703801333904266","-1.11454772949219","-0.33362802863121","0.192693993449211","-0.476670861244202","0.031981136649847","-0.653758764266968","0.617604434490204","0.142539903521538","0.554990768432617","1.3254462480545","2.33942842483521","-1.24560308456421","0.366522192955017","-0.00232144235633314","-0.829738795757294","-1.43312740325928","0.820700764656067","0.669283092021942","-0.0185063872486353","0.332866668701172","0.36865645647049","-0.512988686561584","-1.16656637191772","0.29160737991333","-2.17944717407227","-1.33614003658295","1.98073244094849","0.192769765853882","1.40451097488403","-1.78392088413239","-0.0386583209037781","-1.40494441986084","0.373200476169586","-0.537121534347534","0.861667692661285","-0.293537199497223","-0.317873805761337","-2.84304523468018","0.759917378425598","-2.31815361976624","-1.35747182369232","-0.94161456823349","-0.191032961010933","-0.692250192165375","1.80322051048279","1.3534836769104","2.96245002746582","0.411364108324051","0.339873075485229","-0.174310177564621","1.33175885677338","0.349303513765335","-1.01793837547302","-0.600900828838348","0.593784868717194","0.241068199276924","-0.568260192871094","0.488627880811691","-0.218188166618347","1.34149634838104","0.958453178405762","-0.0192463602870703","1.11100161075592","-0.204403758049011","-0.00901550613343716","-1.7384580373764","-0.90214878320694","0.395620465278625","0.443824738264084","-0.518662571907043"
"w2_118","0.588145315647125","-0.199082612991333","0.211809873580933","-2.1085000038147","-0.0380286127328873","-0.309771299362183","-1.97681760787964","-0.344748139381409","-0.0586862713098526","1.01115322113037","0.128683477640152","-1.61073541641235","-1.87395226955414","-0.244970202445984","0.190406337380409","1.92929100990295","-0.789857447147369","1.26354610919952","-0.544212937355042","-3.4722044467926","-3.05383396148682","-1.31170523166656","-1.19789171218872","1.67242908477783","-1.78526127338409","0.0988650918006897","0.415652930736542","1.03705883026123","-1.41354191303253","0.344461262226105","0.688430786132812","0.334785372018814","0.603777408599854","0.551163494586945","1.05930387973785","-0.619121134281158","0.543087422847748","0.456119745969772","-0.558915495872498","-1.79555022716522","0.536504924297333","-0.00981303676962852","0.917891979217529","-0.692496418952942","0.763087153434753","-0.968597233295441","0.19736485183239","0.312548488378525","-0.823878705501556","1.06040382385254","-0.0546831227838993","0.908330678939819","-0.061021588742733","-0.0415525138378143","-1.57535123825073","0.528975784778595","-1.76927292346954","-1.60694742202759","-3.34408068656921","0.405116885900497","0.528164327144623","0.743788421154022","-0.610469102859497","-0.289138376712799","-3.96817874908447","-1.4018372297287","-1.52481400966644","-0.108963407576084","-4.8593955039978","0.831532895565033","0.0287510920315981","0.629129946231842","0.517536282539368","1.2432941198349","0.043594341725111","-0.920781672000885","-1.88447487354279","-0.154616057872772","0.201446637511253","0.614791035652161","-0.163866057991982","-0.563156366348267","1.8261878490448","0.251441985368729","-0.266923040151596","0.767435014247894","-1.20976114273071","-0.346089720726013","0.137750327587128","-1.70447957515717","-0.63759434223175","1.10343897342682","0.892544507980347","2.52334070205688","0.0351779460906982","0.287779301404953","-0.0378420427441597","0.953961849212646","0.943132400512695","0.528074681758881"
"w2_119","1.31293487548828","0.97765702009201","-1.31521856784821","1.595374584198","1.19172692298889","1.22516882419586","0.214352980256081","-1.41757023334503","-2.0825662612915","-0.999155521392822","-3.64991283416748","0.657988786697388","1.22046947479248","1.40801632404327","1.46248281002045","-2.45040488243103","-1.35814034938812","-0.61044317483902","-2.2863757610321","0.0709876641631126","-1.85565233230591","2.06119132041931","-3.68418550491333","-0.727769732475281","1.5311826467514","4.94053745269775","1.27492868900299","-0.977660298347473","0.801937103271484","-2.56400775909424","-0.879534244537354","0.00765004800632596","-0.243403404951096","1.18801617622375","0.808955013751984","2.25927901268005","-4.70315313339233","-4.04916477203369","-0.302940219640732","0.262283474206924","0.125560507178307","1.32213973999023","0.313002437353134","0.731943488121033","-0.485279411077499","-0.209299311041832","-2.32682752609253","0.772766292095184","2.14728879928589","1.37607872486115","-0.827282786369324","0.35109269618988","-2.23267889022827","1.31620645523071","-0.576775133609772","0.676191329956055","0.293698191642761","-0.799082934856415","4.10083723068237","0.199298053979874","-0.446706652641296","0.0107382368296385","0.0605711936950684","-0.984127342700958","0.254968583583832","-0.411755084991455","-1.96969401836395","0.229185029864311","0.794967770576477","-0.921489894390106","0.240205302834511","0.994690537452698","-5.97019815444946","0.00941474735736847","-0.0341557301580906","1.48970305919647","-0.821160018444061","-1.68825495243073","-3.97931814193726","-4.83537817001343","0.791198074817657","-0.464125424623489","-0.719824075698853","-0.122743465006351","-0.705855429172516","-0.705127537250519","-4.19891834259033","0.295550405979156","-0.70711076259613","-2.23872184753418","-1.30387496948242","-5.56410026550293","-1.62595772743225","-0.533737778663635","-1.41886222362518","-1.76820528507233","-0.301850646734238","-0.474197179079056","0.12151674926281","-0.0296974312514067"
