"dummy","b3"
"w3_1","3.6501522064209"
"w3_2","0.648833394050598"
"w3_3","-1.90579187870026"
"w3_4","-1.69805431365967"
"w3_5","1.11769115924835"
"w3_6","-3.55693030357361"
"w3_7","-2.11844062805176"
"w3_8","-0.217033326625824"
"w3_9","1.32266759872437"
"w3_10","-3.30442523956299"
"w3_11","0.458210438489914"
"w3_12","-2.32854962348938"
"w3_13","-4.35515642166138"
"w3_14","-0.904247462749481"
"w3_15","-2.70983624458313"
"w3_16","0.339097827672958"
"w3_17","-0.36223042011261"
"w3_18","5.15341424942017"
"w3_19","1.53669142723083"
"w3_20","0.557879865169525"
"w3_21","-3.64417743682861"
"w3_22","-3.40391683578491"
"w3_23","1.67827892303467"
"w3_24","1.25640618801117"
"w3_25","-2.97030162811279"
"w3_26","0.00124610133934766"
"w3_27","-0.656991481781006"
"w3_28","-0.726986706256866"
"w3_29","-0.739623069763184"
"w3_30","-1.17251467704773"
"w3_31","2.88190364837646"
"w3_32","1.07938289642334"
"w3_33","-0.879162073135376"
"w3_34","1.21339178085327"
"w3_35","0.501754581928253"
"w3_36","1.98789358139038"
"w3_37","-1.95153439044952"
"w3_38","0.570996761322021"
"w3_39","-1.01374804973602"
"w3_40","-3.79383730888367"
"w3_41","-4.92451238632202"
"w3_42","3.22368955612183"
"w3_43","-0.920318782329559"
"w3_44","-0.0329195261001587"
"w3_45","1.89404964447021"
"w3_46","3.15863585472107"
"w3_47","-1.81224644184113"
"w3_48","-1.53113889694214"
"w3_49","-0.324268788099289"
"w3_50","-1.02436995506287"
"w3_51","-0.927976071834564"
"w3_52","1.01733386516571"
"w3_53","2.78456664085388"
"w3_54","-0.202727407217026"
"w3_55","4.23604297637939"
"w3_56","2.9693648815155"
"w3_57","-4.1787166595459"
"w3_58","-1.63062405586243"
"w3_59","-3.73715233802795"
"w3_60","4.27784538269043"
"w3_61","0.501528441905975"
"w3_62","3.6609091758728"
"w3_63","-1.28947138786316"
"w3_64","1.66886973381042"
"w3_65","-1.95287358760834"
"w3_66","0.179301872849464"
"w3_67","0.843237102031708"
"w3_68","5.64233160018921"
"w3_69","-1.63619351387024"
"w3_70","4.95854806900024"
"w3_71","2.73277592658997"
"w3_72","2.77577924728394"
"w3_73","0.428966879844666"
"w3_74","2.14973068237305"
"w3_75","-3.72985911369324"
"w3_76","-3.54842495918274"
"w3_77","-6.72658014297485"
"w3_78","-0.654439926147461"
"w3_79","-0.716968655586243"
"w3_80","1.0213326215744"
"w3_81","-3.02146863937378"
"w3_82","-0.653121888637543"
"w3_83","2.43639492988586"
"w3_84","2.05374240875244"
"w3_85","-1.52973127365112"
"w3_86","-0.460789769887924"
"w3_87","1.43989419937134"
"w3_88","-1.29886531829834"
"w3_89","1.15446746349335"
"w3_90","-3.71536922454834"
"w3_91","-2.16945695877075"
"w3_92","0.297298938035965"
"w3_93","-3.02780294418335"
"w3_94","0.922363340854645"
"w3_95","0.0399931818246841"
"w3_96","3.51409268379211"
"w3_97","2.8708770275116"
"w3_98","-1.31838893890381"
"w3_99","-1.6605498790741"
"w3_100","1.47379970550537"
