"dummy","b2"
"w2_1","-1.20900142192841"
"w2_2","0.731217086315155"
"w2_3","-0.0850873664021492"
"w2_4","-2.13686656951904"
"w2_5","-0.133516818284988"
"w2_6","-1.32185769081116"
"w2_7","0.553120315074921"
"w2_8","1.23720455169678"
"w2_9","-0.677131175994873"
"w2_10","-1.34585177898407"
"w2_11","-1.31787180900574"
"w2_12","0.346970915794373"
"w2_13","-0.939509570598602"
"w2_14","-1.80730247497559"
"w2_15","-2.02246165275574"
"w2_16","-1.44111657142639"
"w2_17","-1.4550758600235"
"w2_18","-0.783984124660492"
"w2_19","-3.20136117935181"
"w2_20","-0.995666861534119"
"w2_21","-0.431327402591705"
"w2_22","-1.27467358112335"
"w2_23","-0.627719461917877"
"w2_24","0.232751399278641"
"w2_25","-0.7935751080513"
"w2_26","-4.16840076446533"
"w2_27","-0.92808735370636"
"w2_28","-0.935951948165894"
"w2_29","-1.60909330844879"
"w2_30","0.532917082309723"
"w2_31","-1.82956004142761"
"w2_32","-3.27818059921265"
"w2_33","-0.182426810264587"
"w2_34","-2.38822603225708"
"w2_35","-1.90386319160461"
"w2_36","-1.33692646026611"
"w2_37","-1.43875646591187"
"w2_38","-1.47876155376434"
"w2_39","-1.84057343006134"
"w2_40","-0.474726140499115"
"w2_41","-1.79258215427399"
"w2_42","-3.2931079864502"
"w2_43","-1.0693621635437"
"w2_44","-0.231139630079269"
"w2_45","-2.271324634552"
"w2_46","-2.46132278442383"
"w2_47","-2.0085916519165"
"w2_48","-0.716463387012482"
"w2_49","-1.64517605304718"
"w2_50","0.68573123216629"
"w2_51","-2.39451432228088"
"w2_52","-1.12707102298737"
"w2_53","-1.10927474498749"
"w2_54","-2.43214082717896"
"w2_55","0.0520312748849392"
"w2_56","-0.440047413110733"
"w2_57","2.02922058105469"
"w2_58","-0.575770258903503"
"w2_59","0.150588542222977"
"w2_60","-3.16459202766418"
"w2_61","-2.47988772392273"
"w2_62","-2.05339074134827"
"w2_63","-0.937048494815826"
"w2_64","0.399208635091782"
"w2_65","-0.944433152675629"
"w2_66","-0.109446704387665"
"w2_67","-2.93103122711182"
"w2_68","-2.74440360069275"
